psl_entry,top_level_domain,dns_status,whois_status,whois_domain_expiry_date,whois_domain_status
zap.cloud,zap.cloud,ok,ok,2029-11-29 14:34:34.892000,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
blogspot.pe,blogspot.pe,ok,ok,,"[""clientUpdateProhibited"", ""clientTransferProhibited"", ""clientDeleteProhibited""]"
ju.mp,ju.mp,ok,ok,,null
on-rancher.cloud,on-rancher.cloud,ok,ok,2025-03-01 18:26:13.083000,"[""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
amazonaws.com.cn,amazonaws.com.cn,ok,ok,2025-01-13 06:45:02,"[""serverDeleteProhibited"", ""serverUpdateProhibited"", ""clientTransferProhibited"", ""serverTransferProhibited""]"
net.ru,net.ru,ok,ok,2025-08-01 00:00:00,"""REGISTERED, DELEGATED"""
serveftp.com,serveftp.com,ok,ok,2025-06-01 21:14:31,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""]"
from-az.net,from-az.net,ok,ok,2025-01-03 17:15:05,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
bookonline.app,bookonline.app,ok,ok,2025-05-09 00:33:28,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientRenewProhibited https://icann.org/epp#clientRenewProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
plesk.page,plesk.page,ok,ok,2025-03-18 03:06:27,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
streakusercontent.com,streakusercontent.com,ok,ok,2028-03-16 23:35:01,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""]"
cistron.nl,cistron.nl,ok,ok,,"""active"""
homelinux.com,homelinux.com,ok,ok,2024-12-03 16:47:42,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
blogdns.org,blogdns.org,ok,ok,2025-08-09 17:55:10,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
ravendb.run,ravendb.run,ok,ok,2024-12-27 07:43:31,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""]"
001www.com,001www.com,NXDOMAIN,ok,2024-10-08 18:59:52,"[""clientHold https://icann.org/epp#clientHold"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]"
wellbeingzone.eu,wellbeingzone.eu,ok,ok,,null
